OTU_ID,Occurrence_of_OTU_in_plant_samples(%),Average_relative_OTU_content_in_plant_samples(%),Occurrence_of_OTU_in_soil_samples(%),Average_relative_OTU_content_in_soil_samples(%),Log10_Average_relative_OTU_content_in_plant_samples,Log10_Average_relative_OTU_content_in_soil_samples
OTU_1243,1.369863014,0.014894251,96.22641509,0.048466869,-1.826981332,-1.314555036
OTU_1244,2.739726027,0.027342731,1.886792453,0.011985737,-1.563158118,-1.921335256
OTU_1245,0,0,56.60377358,0.045673332,NA,-1.3403373
OTU_1246,0,0,0,0,NA,NA
OTU_1247,0,0,3.773584906,0.008564185,NA,-2.067313985
OTU_1248,6.849315068,0.091872671,0,0,-1.036813658,NA
OTU_1249,9.589041096,0.037910997,1.886792453,0.007875256,-1.421234794,-2.10373532
OTU_125,52.05479452,0.472793358,37.73584906,0.009654169,-0.325328634,-2.015285085
OTU_1251,2.739726027,0.048028248,0,0,-1.318503255,NA
OTU_1252,0,0,100,0.051382899,NA,-1.289181396
OTU_1254,8.219178082,0.013653997,73.58490566,0.019824564,-1.864740197,-1.702796348
OTU_1255,0,0,60.37735849,0.03180157,NA,-1.497551441
OTU_1256,0,0,47.16981132,0.038815794,NA,-1.410991527
OTU_1257,1.369863014,1.697251219,47.16981132,0.006913754,0.229746129,-2.160286057
OTU_1258,8.219178082,1.100840024,3.773584906,0.007068427,0.041724211,-2.150677223
OTU_1259,8.219178082,0.348597589,3.773584906,0.002348746,-0.457675621,-2.629163947
OTU_126,2.739726027,0.009909153,100,0.702690949,-2.003963466,-0.153235641
OTU_1260,1.369863014,0.002394005,92.45283019,0.021917126,-2.620874947,-1.659216403
OTU_1261,0,0,94.33962264,0.051635693,NA,-1.287049992
OTU_1262,0,0,58.49056604,0.012460803,NA,-1.90445398
OTU_1263,0,0,0,0,NA,NA
OTU_1264,0,0,84.90566038,0.038724691,NA,-1.412012036
OTU_1265,1.369863014,0.628930818,90.56603774,0.086732767,-0.201397124,-1.0618168
OTU_1266,17.80821918,0.051125462,0,0,-1.291362754,NA
OTU_1267,5.479452055,0.029582675,69.81132075,0.023790331,-1.528962554,-1.623599512
OTU_1268,0,0,67.9245283,0.040093624,NA,-1.396924687
OTU_1269,0,0,83.01886792,0.029689466,NA,-1.527397614
OTU_127,50.68493151,0.652402568,1.886792453,0.00286533,-0.185484338,-2.542825353
OTU_1272,0,0,84.90566038,0.089804435,NA,-1.046702214
OTU_1273,0,0,41.50943396,0.103313322,NA,-0.985843673
OTU_1275,12.32876712,0.021776374,43.39622642,0.007745544,-1.66201444,-2.11094807
OTU_1276,0,0,100,0.04245244,NA,-1.372097347
OTU_1278,0,0,83.01886792,0.023435757,NA,-1.630121016
OTU_1279,0,0,0,0,NA,NA
OTU_128,15.06849315,0.272385847,0,0,-0.564815462,NA
OTU_1280,0,0,83.01886792,0.035699986,NA,-1.447331952
OTU_1281,31.50684932,0.159514242,1.886792453,0.005730659,-0.797200534,-2.241795433
OTU_1282,0,0,0,0,NA,NA
OTU_1283,0,0,3.773584906,0.006054165,NA,-2.217945747
OTU_1284,1.369863014,0.003016136,7.547169811,0.010634661,-2.52054908,-1.973276339
OTU_1285,0,0,0,0,NA,NA
OTU_1286,0,0,54.71698113,0.033518998,NA,-1.474708979
OTU_1287,0,0,0,0,NA,NA
OTU_1288,0,0,90.56603774,0.032113458,NA,-1.493312931
OTU_1289,0,0,62.26415094,0.022782615,NA,-1.642396421
OTU_1290,1.369863014,0.017865802,1.886792453,0.002928,-1.747977483,-2.533428928
OTU_1291,0,0,5.660377358,0.07161365,NA,-1.145004191
OTU_1293,0,0,100,0.075581268,NA,-1.121585827
OTU_1294,0,0,28.30188679,0.004095426,NA,-2.387700889
OTU_1296,0,0,94.33962264,0.031433268,NA,-1.502610461
OTU_1297,0,0,84.90566038,0.036181146,NA,-1.441517687
OTU_1299,0,0,83.01886792,0.012931689,NA,-1.888344738
OTU_13,6.849315068,0.498434353,3.773584906,0.002710214,-0.302392033,-2.566996416
OTU_130,0,0,0,0,NA,NA
OTU_1300,0,0,3.773584906,0.004599627,NA,-2.337277433
OTU_1301,0,0,15.09433962,0.009585031,NA,-2.018406495
OTU_1302,0,0,96.22641509,0.047066951,NA,-1.327283935
OTU_1303,21.91780822,0.216706033,60.37735849,0.009923429,-0.664128998,-2.003338217
OTU_1304,0,0,3.773584906,0.012525947,NA,-1.90218943
OTU_1305,0,0,98.11320755,0.036445081,NA,-1.438361076
OTU_1306,0,0,81.13207547,0.040627872,NA,-1.391175921
OTU_1307,5.479452055,0.011526872,0,0,-1.938288529,NA
OTU_1308,0,0,0,0,NA,NA
